"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"1","South Africa","South Africa",0,"2019-12-30","2020-01-05",7,2020,"1",60041996,10456,0,"TBC",10191.1075471711,9855.9275036316,10526.2875907107,10189.9589417025,10098.684752775,10282.0580873218,10188.7189978608,10096.1032506302,10281.3347450913,10189.1161872641,10281.4813571508,10189.0255140376,10187.2428899782,10186.5095988285,10187.5225151634,10173.1885045259,10189.9588560908,10158.730386134,10168.5027029901,264.892452828868,600.072496368404,-70.2875907106682,266.041058297487,357.315247225028,173.941912678227,267.281002139247,359.896749369773,174.665254908721,266.883812735898,174.518642849216,266.974485962401,268.757110021845,269.490401171504,268.477484836629,282.811495474143,266.041143909222,297.269613865976,287.497297009892
"2","South Africa","South Africa",0,"2020-01-06","2020-01-12",7,2020,"2",60041996,9678,0,"TBC",9270.70754716979,8935.52750362996,9605.88759070961,9280.41646429166,9193.6383854853,9368.01363502285,9270.15681000319,9181.43515437862,9358.87846562776,9275.18744236095,9363.32245253578,9330.8750853598,9406.79185173268,9415.28790438897,9389.59478186611,9379.16187636464,9354.136444128,9396.45241945348,9386.13241446349,407.292452830214,742.472496370036,72.1124092903938,397.583535708336,484.361614514695,309.986364977149,407.843189996811,496.564845621378,319.121534372243,402.812557639048,314.677547464224,347.124914640202,271.20814826732,262.712095611032,288.405218133888,298.838123635358,323.863555872003,281.547580546519,291.867585536509
"3","South Africa","South Africa",0,"2020-01-13","2020-01-19",7,2020,"3",60041996,9254,0,"TBC",9052.10754716979,8716.92750362997,9387.28759070961,9064.39518489245,8978.71041340616,9150.89765510457,9052.2322182417,8964.45987691667,9140.00455956673,9058.26464991333,9145.36538815025,9127.0786059367,9205.78508320302,9213.1686808456,9182.57732629914,9160.55867846217,9138.11511703472,9176.19724764432,9168.0928224458,201.892452830214,537.072496370034,-133.287590709608,189.604815107548,275.289586593837,103.102344895429,201.767781758297,289.540123083329,113.995440433266,195.73535008667,108.634611849755,126.921394063304,48.2149167969765,40.8313191544003,71.422673700863,93.4413215378299,115.884882965276,77.802752355683,85.9071775542016
"4","South Africa","South Africa",0,"2020-01-20","2020-01-26",7,2020,"4",60041996,8626,0,"TBC",8905.50754716979,8570.32750362997,9240.68759070961,8919.52455561555,8834.5788688544,9005.28700679823,8903.02755179339,8815.91057317743,8990.14453040935,8911.36763568753,8997.7609315333,8990.41441894354,9103.83715018241,9111.17699406785,9077.88828275266,9049.55502963313,9028.42448984234,9065.35186980304,9057.86663262395,-279.507547169789,55.6724963700326,-614.687590709609,-293.524555615551,-208.578868854402,-379.287006798235,-277.02755179339,-189.910573177431,-364.144530409349,-285.367635687535,-371.760931533301,-364.414418943537,-477.837150182408,-485.176994067851,-451.88828275266,-423.555029633128,-402.424489842342,-439.35186980304,-431.866632623947
"5","South Africa","South Africa",0,"2020-01-27","2020-02-02",7,2020,"5",60041996,9417,0,"TBC",9232.30754716979,8897.12750362997,9567.48759070961,9242.46945089337,9155.88268773226,9329.87506110729,9229.16425536812,9140.61989045076,9317.70862028548,9235.79386215859,9323.74195264178,9295.14542249134,9460.36148413516,9468.05945898934,9444.21835005006,9437.35090341438,9411.6497455764,9454.09432628055,9443.68646078874,184.692452830213,519.872496370033,-150.487590709608,174.53054910663,261.117312267739,87.1249388927135,187.835744631881,276.380109549242,99.2913797145193,181.206137841415,93.2580473582166,121.854577508657,-43.3614841351609,-51.0594589893371,-27.2183500500578,-20.3509034143772,5.3502544235962,-37.0943262805504,-26.6864607887364
"6","South Africa","South Africa",0,"2020-02-03","2020-02-09",7,2020,"6",60041996,10095,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344626,9266.98760386544,9442.10485035198,9343.18276626326,9254.14501950215,9432.22051302438,9348.57464311188,9437.05681477097,9400.53055182837,9709.69415071413,9716.57441433353,9700.0787234349,9707.94627252492,9679.0575588747,9726.2686466094,9713.3761351163,749.692452830215,1084.87249637004,414.512409290395,740.863556553737,828.01239613456,652.895149648024,751.817233736736,840.85498049785,662.779486975622,746.425356888121,657.943185229027,694.469448171627,385.305849285869,378.42558566647,394.921276565097,387.053727475084,415.942441125295,368.731353390598,381.623864883697
"7","South Africa","South Africa",0,"2020-02-10","2020-02-16",7,2020,"7",60041996,9279,0,"TBC",9007.90754716979,8672.72750362997,9343.08759070961,9020.71659134507,8935.25414681471,9106.99645296342,9006.03469190343,8918.46451718239,9093.60486662447,9013.40388918656,9100.28919457649,9085.96541836057,9491.114012833,9498.67651223357,9475.74493656801,9470.7411088441,9444.65566943332,9487.5584573774,9476.90344867544,271.092452830211,606.272496370033,-64.0875907096088,258.283408654928,343.745853185286,172.003547036584,272.965308096571,360.535482817613,185.395133375529,265.59611081344,178.710805423507,193.034581639435,-212.114012833003,-219.676512233567,-196.744936568008,-191.741108844102,-165.655669433323,-208.558457377401,-197.903448675439
"8","South Africa","South Africa",0,"2020-02-17","2020-02-23",7,2020,"8",60041996,9312,0,"TBC",8959.70754716979,8624.52750362996,9294.88759070961,8973.08518390205,8887.86568488276,9059.1217928182,8957.77813575367,8870.42002223438,9045.13624927297,8965.48148683861,9052.13606350494,9041.04852578273,9451.15864794402,9459.37245424455,9435.02940384979,9427.33538338934,9401.76761486362,9444.59180425837,9433.99012021069,352.292452830214,687.472496370036,17.112409290392,338.914816097951,424.13431511724,252.8782071818,354.221864246329,441.579977765623,266.863750727034,346.518513161387,259.86393649506,270.951474217274,-139.158647944018,-147.372454244554,-123.029403849792,-115.335383389338,-89.7676148636201,-132.591804258373,-121.99012021069
"9","South Africa","South Africa",0,"2020-02-24","2020-03-01",7,2020,"9",60041996,9019,0,"TBC",9406.30754716979,9071.12750362997,9741.48759070961,9414.41685535544,9326.96571046606,9502.68795637844,9404.07988414356,9314.77962408731,9493.38014419981,9409.14823172936,9497.9159242798,9457.48005318102,9683.87713319423,9691.00849113039,9673.66120452976,9679.92906629322,9651.38778434782,9698.20593502059,9685.51265792994,-387.307547169788,-52.1275036299667,-722.487590709608,-395.416855355437,-307.965710466064,-483.687956378442,-385.079884143559,-295.779624087312,-474.380144199806,-390.148231729356,-478.915924279798,-438.480053181022,-664.877133194228,-672.008491130386,-654.661204529757,-660.929066293218,-632.387784347819,-679.205935020593,-666.512657929938
"10","South Africa","South Africa",0,"2020-03-02","2020-03-08",7,2020,"10",60041996,9837,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344618,9266.98759929196,9442.10485501171,9344.56173911942,9255.51829434897,9433.60518388987,9349.23422552001,9437.7195111732,9400.62838914176,10182.0707312668,10181.7370839492,10182.4045369005,10167.5459822989,10184.4245625731,10153.474042469,10163.0865911303,491.692452830217,826.872496370039,156.512409290397,482.863556553819,570.012400708036,394.895144988292,492.438260880584,581.481705651035,403.394816110134,487.765774479991,399.280488826804,436.371610858243,-345.070731266769,-344.737083949218,-345.404536900547,-330.545982298885,-347.424562573113,-316.474042469012,-326.086591130284
"11","South Africa","South Africa",0,"2020-03-09","2020-03-15",7,2020,"11",60041996,9398,0,"TBC",9126.70754716979,8791.52750362996,9461.88759070961,9138.11516404694,9052.05611995399,9224.99238237258,9125.13557326667,9037.04423611064,9213.2269104227,9131.59990906203,9219.05167634942,9196.83138704497,10175.2260658676,10175.8250959972,10175.8593259495,10160.1383886609,10177.1118528919,10146.977562809,10156.1871427038,271.292452830214,606.472496370036,-63.887590709608,259.884835953058,345.943880046007,173.007617627421,272.864426733331,360.95576388936,184.773089577302,266.400090937967,178.948323650582,201.168612955027,-777.22606586758,-777.825095997163,-777.859325949492,-762.138388660913,-779.111852891938,-748.977562809048,-758.187142703797
"12","South Africa","South Africa",0,"2020-03-16","2020-03-22",7,2020,"12",60041996,9118,0,"TBC",9015.70754716979,8680.52750362997,9350.88759070961,9028.42457844167,8942.92286902181,9114.74375463619,9014.82595206852,8927.21738509282,9102.43451904422,9021.62044617803,9108.54524961252,9093.35990040738,9338.16999241979,9346.78779998905,9319.16038009203,9304.50625271464,9280.41620368131,9321.69807754472,9311.90566285248,102.292452830212,437.472496370034,-232.887590709608,89.5754215583256,175.07713097819,3.25624536380747,103.174047931478,190.782614907179,15.5654809557764,96.3795538219711,9.45475038747645,24.6400995926197,-220.169992419787,-228.78779998905,-201.160380092035,-186.506252714644,-162.416203681314,-203.698077544721,-193.905662852481
"13","South Africa","South Africa",0,"2020-03-23","2020-03-29",7,2020,"13",60041996,9043,2,"TBC",9403.50754716979,9068.32750362997,9738.68759070961,9411.64988562844,9324.21259796781,9499.90711161556,9401.87643725946,9312.58576997293,9491.16710454599,9406.65291142852,9495.4088601688,9454.96640989998,10248.8810706995,10247.9434000007,10250.9188187896,10239.7211073698,10255.7728703532,10226.1806984758,10235.1989238155,-360.507547169789,-25.3275036299692,-695.687590709611,-368.649885628436,-281.212597967806,-456.907111615559,-358.876437259461,-269.585769972931,-448.167104545992,-363.652911428517,-452.408860168802,-411.966409899978,-1205.88107069951,-1204.94340000075,-1207.91881878957,-1196.72110736979,-1212.77287035323,-1183.18069847579,-1192.19892381547
