"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"1","South Africa","South Africa",0,"2020-02-24","2020-03-01",7,2020,"9",60041996,9019,0,"TBC",9433.66779661014,9100.78753724287,9766.5480559774,9439.19574902265,9351.82528875146,9527.38247746526,9433.34221193776,9344.43575366893,9522.24867020658,9436.14533973803,9524.68471166765,9702.4992068602,9704.24782046235,9708.51692607623,9699.1627837503,9708.4553331395,9720.26292765279,9715.26391416477,9712.98579736876,-414.667796610136,-81.787537242868,-747.548055977402,-420.195749022645,-332.825288751457,-508.382477465264,-414.342211937756,-325.435753668929,-503.248670206582,-417.145339738032,-505.684711667653,-683.499206860197,-685.247820462349,-689.516926076234,-680.162783750297,-689.4553331395,-701.262927652786,-696.263914164765,-693.985797368758
"2","South Africa","South Africa",0,"2020-03-02","2020-03-08",7,2020,"10",60041996,9837,0,"TBC",9372.66779661013,9039.78753724287,9705.5480559774,9378.75667811839,9291.68639419012,9466.64287791184,9373.46995130335,9284.82291712937,9462.11698547733,9375.98226006785,9464.23958556925,10203.0025374336,10199.3868821535,10199.2992131395,10201.9138836641,10190.2046298057,10182.3272289722,10183.6720623868,10186.1273581902,464.332203389866,797.212462757132,131.451944022598,458.24332188161,545.313605809877,370.357122088157,463.53004869665,552.177082870629,374.883014522671,461.017739932146,372.760414430753,-366.002537433644,-362.386882153498,-362.299213139515,-364.913883664058,-353.204629805716,-345.327228972203,-346.672062386844,-349.127358190222
"3","South Africa","South Africa",0,"2020-03-09","2020-03-15",7,2020,"11",60041996,9398,0,"TBC",9154.06779661014,8821.18753724288,9486.94805597741,9162.16682730425,9076.17881794761,9248.96948982071,9154.24018954831,9066.54853917636,9241.93183992027,9158.12538282806,9245.35374029709,10196.1136767249,10192.5829708153,10193.2506675116,10195.3647403035,10182.7921646412,10174.9871014002,10176.9833061104,10179.1158803706,243.932203389857,576.812462757123,-88.9480559774074,235.833172695751,321.821182052394,149.030510179289,243.759810451686,331.451460823639,156.068160079732,239.874617171938,152.646259702909,-798.113676724943,-794.582970815314,-795.250667511564,-797.364740303452,-784.792164641183,-776.98710140016,-778.983306110424,-781.115880370597
"4","South Africa","South Africa",0,"2020-03-16","2020-03-22",7,2020,"12",60041996,9118,0,"TBC",9043.06779661014,8710.18753724287,9375.9480559774,9052.18753434738,8966.75309036264,9138.43599028778,9043.76484553314,8956.55880485684,9130.97088620945,9047.91141841013,9134.61455757447,9412.52959366288,9417.46191586431,9422.41321457261,9407.35700315524,9392.83321988452,9405.49218345635,9398.59890744159,9397.82926749961,74.9322033898625,407.812462757129,-257.948055977404,65.8124656526179,151.246909637359,-20.4359902877804,74.2351544668563,161.441195143159,-12.9708862094467,70.0885815898673,-16.6145575744686,-294.529593662875,-299.461915864307,-304.413214572609,-289.357003155235,-274.833219884522,-287.492183456347,-280.598907441592,-279.829267499608
"5","South Africa","South Africa",0,"2020-03-23","2020-03-29",7,2020,"13",60041996,9043,2,"TBC",9430.86779661013,9097.98753724287,9763.7480559774,9436.42149658769,9349.06479555136,9524.5944496645,9430.997326554,9342.1011056359,9519.89354747209,9433.58046726844,9522.10783337523,10269.9283578042,10265.8004559958,10265.3681801666,10269.5219051265,10262.3649368633,10253.9069274895,10256.2582074811,10258.2238039374,-387.867796610135,-54.9875372428687,-720.748055977401,-393.421496587691,-306.06479555136,-481.594449664504,-387.997326553997,-299.101105635902,-476.893547472093,-390.580467268441,-479.107833375234,-1226.92835780417,-1222.80045599579,-1222.36818016663,-1226.52190512647,-1219.36493686332,-1210.90692748952,-1213.25820748112,-1215.22380393738
"6","South Africa","South Africa",0,"2020-03-30","2020-04-05",7,2020,"14",60041996,8772,9,"TBC",9701.46779661014,9368.58753724287,10034.3480559774,9704.5331783366,9615.85403242083,9794.03013938286,9701.97878901989,9611.91886418875,9792.03871385103,9703.09165573869,9792.8717686607,10167.0917054907,10163.8987518443,10164.5232780166,10166.0681624923,10151.5615924,10144.0446038386,10145.4652648672,10147.8721649107,-929.467796610137,-596.587537242871,-1262.3480559774,-932.5331783366,-843.854032420833,-1022.03013938286,-929.978789019886,-839.918864188747,-1020.03871385103,-931.091655738692,-1020.8717686607,-1395.09170549074,-1391.89875184427,-1392.52327801661,-1394.0681624923,-1379.56159239999,-1372.04460383859,-1373.46526486721,-1375.87216491074
"7","South Africa","South Africa",0,"2020-04-06","2020-04-12",7,2020,"15",60041996,8764,14,"TBC",9464.26779661014,9131.38753724287,9797.14805597741,9469.51436491889,9381.99361892841,9557.85155582395,9464.33670041649,9375.2964621103,9553.37693872268,9466.79154335068,9555.47424000991,10814.0227435345,10806.289995772,10793.2718293289,10815.0431762325,10848.7492546235,10835.335520333,10839.6818907112,10840.7803560348,-700.26779661014,-367.387537242872,-1033.14805597741,-705.514364918894,-617.993618928413,-793.851555823947,-700.33670041649,-611.296462110296,-789.376938722684,-702.791543350682,-791.474240009909,-2050.02274353452,-2042.28999577199,-2029.27182932887,-2051.04317623248,-2084.74925462351,-2071.33552033302,-2075.6818907112,-2076.78035603478
"8","South Africa","South Africa",0,"2020-04-13","2020-04-19",7,2020,"16",60041996,8617,29,"TBC",9420.86779661014,9087.98753724287,9753.7480559774,9426.51345217715,9339.205912832,9514.63718580024,9421.45977286389,9332.60489596814,9510.31464975964,9423.85246970736,9512.33428552593,11417.3411208657,11407.7412109251,11374.6049986739,11419.9312597048,11498.9369802121,11480.0240768261,11488.3363070879,11487.7428377119,-803.867796610137,-470.987537242872,-1136.7480559774,-809.513452177152,-722.205912832003,-897.637185800239,-804.459772863891,-715.604895968143,-893.314649759639,-806.852469707361,-895.334285525925,-2800.34112086573,-2790.74121092508,-2757.60499867395,-2802.93125970476,-2881.9369802121,-2863.02407682612,-2871.33630708793,-2870.7428377119
"9","South Africa","South Africa",0,"2020-04-20","2020-04-26",7,2020,"17",60041996,8430,33,"TBC",9673.46779661014,9340.58753724287,10006.3480559774,9676.7906539871,9588.24765207828,9766.1513092849,9674.02924414728,9584.08866918324,9763.96981911131,9675.24677094156,9764.89826750271,11435.3211661401,11425.7205870542,11391.6701871477,11437.8593916794,11518.3247686729,11499.2562611741,11507.493400837,11506.938231717,-1243.46779661014,-910.587537242871,-1576.3480559774,-1246.7906539871,-1158.24765207828,-1336.15130928489,-1244.02924414728,-1154.08866918324,-1333.96981911131,-1245.24677094156,-1334.89826750271,-3005.32116614013,-2995.72058705418,-2961.6701871477,-3007.85939167936,-3088.32476867287,-3069.25626117414,-3077.493400837,-3076.93823171698
"10","South Africa","South Africa",0,"2020-04-27","2020-05-03",7,2020,"18",60041996,8480,44,"TBC",10212.8677966101,9879.98753724287,10545.7480559774,10211.230569491,10120.0918858295,10303.1900223465,10212.7122666265,10120.4987156845,10304.9258175685,10211.7941650304,10303.8923095278,11274.953080252,11265.6515593131,11239.1509708806,11277.9505855235,11345.512619218,11327.9168011911,11336.5151749591,11335.7393483817,-1732.86779661014,-1399.98753724287,-2065.7480559774,-1731.23056949104,-1640.09188582948,-1823.19002234653,-1732.71226662646,-1640.49871568446,-1824.92581756846,-1731.79416503041,-1823.89230952783,-2794.95308025202,-2785.65155931307,-2759.15097088061,-2797.95058552353,-2865.512619218,-2847.91680119113,-2856.51517495907,-2855.73934838166
