"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"1","South Africa","South Africa",0,"2020-02-24","2020-03-01",7,2020,"9",60041996,9019,0,"TBC",9433.66779661014,9100.78753724287,9766.5480559774,9439.19574902265,9351.82528875146,9527.38247746526,9433.34221193776,9344.43575366893,9522.24867020658,9436.14533973803,9524.68471166765,9697.44006103671,9698.34777148532,9708.51692607623,9701.34364966928,9673.46499253487,9706.23522796648,9709.0613749547,9698.56815190374,-414.667796610136,-81.787537242868,-747.548055977402,-420.195749022645,-332.825288751457,-508.382477465264,-414.342211937756,-325.435753668929,-503.248670206582,-417.145339738032,-505.684711667653,-678.440061036712,-679.34777148532,-689.516926076234,-682.343649669276,-654.464992534871,-687.235227966477,-690.061374954701,-679.568151903744
"2","South Africa","South Africa",0,"2020-03-02","2020-03-08",7,2020,"10",60041996,9837,0,"TBC",9372.66779661013,9039.78753724287,9705.5480559774,9378.75667811839,9291.68639419012,9466.64287791184,9373.46995130335,9284.82291712937,9462.11698547733,9375.98226006785,9464.23958556925,10204.7851554602,10201.7613565049,10199.2992131395,10201.0581173181,10212.8636553756,10191.7563694499,10187.9317056582,10196.0247820992,464.332203389866,797.212462757132,131.451944022598,458.24332188161,545.313605809877,370.357122088157,463.53004869665,552.177082870629,374.883014522671,461.017739932146,372.760414430753,-367.785155460189,-364.76135650492,-362.299213139515,-364.058117318098,-375.863655375584,-354.756369449891,-350.931705658164,-359.024782099186
"3","South Africa","South Africa",0,"2020-03-09","2020-03-15",7,2020,"11",60041996,9398,0,"TBC",9154.06779661014,8821.18753724288,9486.94805597741,9162.16682730425,9076.17881794761,9248.96948982071,9154.24018954831,9066.54853917636,9241.93183992027,9158.12538282806,9245.35374029709,10197.8001187755,10194.8459826492,10193.2506675116,10194.5488981612,10205.4634470885,10184.4173889249,10181.2484234592,10189.0189648324,243.932203389857,576.812462757123,-88.9480559774074,235.833172695751,321.821182052394,149.030510179289,243.759810451686,331.451460823639,156.068160079732,239.874617171938,152.646259702909,-799.800118775465,-796.845982649189,-795.250667511564,-796.548898161234,-807.463447088467,-786.417388924852,-783.248423459218,-791.018964832436
"4","South Africa","South Africa",0,"2020-03-16","2020-03-22",7,2020,"12",60041996,9118,0,"TBC",9043.06779661014,8710.18753724287,9375.9480559774,9052.18753434738,8966.75309036264,9138.43599028778,9043.76484553314,8956.55880485684,9130.97088620945,9047.91141841013,9134.61455757447,9403.56524427044,9406.65834660115,9422.41321457261,9411.24149698761,9361.38642083338,9392.93052030597,9393.19645970512,9385.10180963188,74.9322033898625,407.812462757129,-257.948055977404,65.8124656526179,151.246909637359,-20.4359902877804,74.2351544668563,161.441195143159,-12.9708862094467,70.0885815898673,-16.6145575744686,-285.565244270438,-288.658346601149,-304.413214572609,-293.241496987614,-243.38642083338,-274.93052030597,-275.196459705117,-267.10180963188
"5","South Africa","South Africa",0,"2020-03-23","2020-03-29",7,2020,"13",60041996,9043,2,"TBC",9430.86779661013,9097.98753724287,9763.7480559774,9436.42149658769,9349.06479555136,9524.5944496645,9430.997326554,9342.1011056359,9519.89354747209,9433.58046726844,9522.10783337523,10272.6197407879,10269.2570489556,10265.3681801666,10268.2532679035,10285.0633404695,10263.3178051169,10260.5663754105,10268.1635770119,-387.867796610135,-54.9875372428687,-720.748055977401,-393.421496587691,-306.06479555136,-481.594449664504,-387.997326553997,-299.101105635902,-476.893547472093,-390.580467268441,-479.107833375234,-1229.61974078789,-1226.25704895559,-1222.36818016663,-1225.25326790354,-1242.06334046954,-1220.31780511686,-1217.5663754105,-1225.1635770119
"6","South Africa","South Africa",0,"2020-03-30","2020-04-05",7,2020,"14",60041996,8772,9,"TBC",9701.46779661014,9368.58753724287,10034.3480559774,9704.5331783366,9615.85403242083,9794.03013938286,9701.97878901989,9611.91886418875,9792.03871385103,9703.09165573869,9792.8717686607,10168.3749292543,10165.6913522097,10164.5232780166,10165.4322154336,10174.2634237012,10153.4809109654,10149.711890293,10157.7529891492,-929.467796610137,-596.587537242871,-1262.3480559774,-932.5331783366,-843.854032420833,-1022.03013938286,-929.978789019886,-839.918864188747,-1020.03871385103,-931.091655738692,-1020.8717686607,-1396.37492925428,-1393.69135220971,-1392.52327801661,-1393.43221543361,-1402.26342370118,-1381.48091096536,-1377.71189029305,-1385.75298914925
"7","South Africa","South Africa",0,"2020-04-06","2020-04-12",7,2020,"15",60041996,8764,14,"TBC",9464.26779661014,9131.38753724287,9797.14805597741,9469.51436491889,9381.99361892841,9557.85155582395,9464.33670041649,9375.2964621103,9553.37693872268,9466.79154335068,9555.47424000991,10824.1499067614,10818.332430393,10793.2718293289,10810.3980748162,10871.4635825441,10844.6113288547,10844.2841582063,10850.9850001074,-700.26779661014,-367.387537242872,-1033.14805597741,-705.514364918894,-617.993618928413,-793.851555823947,-700.33670041649,-611.296462110296,-789.376938722684,-702.791543350682,-791.474240009909,-2060.14990676143,-2054.33243039298,-2029.27182932887,-2046.39807481624,-2107.46358254408,-2080.61132885466,-2080.28415820633,-2086.98500010743
"8","South Africa","South Africa",0,"2020-04-13","2020-04-19",7,2020,"16",60041996,8617,29,"TBC",9420.86779661014,9087.98753724287,9753.7480559774,9426.51345217715,9339.205912832,9514.63718580024,9421.45977286389,9332.60489596814,9510.31464975964,9423.85246970736,9512.33428552593,11435.7158702813,11428.8962828635,11374.6049986739,11411.4599678337,11521.6638075548,11489.1500615475,11493.2851086,11498.2582230697,-803.867796610137,-470.987537242872,-1136.7480559774,-809.513452177152,-722.205912832003,-897.637185800239,-804.459772863891,-715.604895968143,-893.314649759639,-806.852469707361,-895.334285525925,-2818.71587028134,-2811.89628286352,-2757.60499867395,-2794.4599678337,-2904.66380755477,-2872.15006154748,-2876.28510860005,-2881.25822306975
"9","South Africa","South Africa",0,"2020-04-20","2020-04-26",7,2020,"17",60041996,8430,33,"TBC",9673.46779661014,9340.58753724287,10006.3480559774,9676.7906539871,9588.24765207828,9766.1513092849,9674.02924414728,9584.08866918324,9763.96981911131,9675.24677094156,9764.89826750271,11453.9397493566,11447.1411126426,11391.6701871477,11429.2738205894,11541.0640888398,11508.3770990478,11512.4510789875,11517.459271035,-1243.46779661014,-910.587537242871,-1576.3480559774,-1246.7906539871,-1158.24765207828,-1336.15130928489,-1244.02924414728,-1154.08866918324,-1333.96981911131,-1245.24677094156,-1334.89826750271,-3023.9397493566,-3017.14111264259,-2961.6701871477,-2999.27382058938,-3111.06408883981,-3078.37709904784,-3082.45107898745,-3087.45927103502
"10","South Africa","South Africa",0,"2020-04-27","2020-05-03",7,2020,"18",60041996,8480,44,"TBC",10212.8677966101,9879.98753724287,10545.7480559774,10211.230569491,10120.0918858295,10303.1900223465,10212.7122666265,10120.4987156845,10304.9258175685,10211.7941650304,10303.8923095278,11291.3768104765,11284.6931468039,11239.1509708806,11270.3848626841,11368.2644163,11337.0766106746,11341.398932198,11346.1991651745,-1732.86779661014,-1399.98753724287,-2065.7480559774,-1731.23056949104,-1640.09188582948,-1823.19002234653,-1732.71226662646,-1640.49871568446,-1824.92581756846,-1731.79416503041,-1823.89230952783,-2811.37681047655,-2804.69314680393,-2759.15097088061,-2790.38486268408,-2888.26441629998,-2857.07661067465,-2861.39893219803,-2866.19916517445
